Username,Password,Version,Country,Channel,MPU2,MPU3,Season,Month,Brand,Consumer,Division,Segment,Dimension,Fields of Play,Style,StyleColor,Size,Value,,,,,,,
test101@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,RUNNING,Mens Running,DC8992,DC8992-003,6,0.3,,,,,,,
test102@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,CZ0175,CZ0175-006,3.5,0.35,,,,,,,
test103@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,CZ0175,CZ0175-102,3.5,0.4,,,,,,,
test104@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FN4322,FN4322-101,3.5,0.45,,,,,,,
test105@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FV1298,FV1298-101,3.5,0.5,,,,,,,5
test106@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FV1298,FV1298-103,3.5,0.55,,,,,,,
test107@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FV1298,FV1298-105,3.5,0.6,,,,,,,
test108@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FV1298,FV1298-104,3.5,0.65,,,,,,,
test109@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FV1298,FV1298-102,3.5,0.7,,,,,,,
test110@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HQ8513,HQ8513-400,3.5,0.75,,,,,,,
test111@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HQ8513,HQ8513-001,3.5,0.8,,,,,,,
test112@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HQ8513,HQ8513-600,3.5,0.85,,,,,,,
test113@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HQ8513,HQ8513-002,3.5,0.9,,,,,,,
test114@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HQ8513,HQ8513-100,3.5,0.95,,,,,,,
test115@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,IM0634,IM0634-001,3.5,1,,,,,,,
test116@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,IM0634,IM0634-104,3.5,1.05,,,,,,,
test117@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,IM0634,IM0634-102,3.5,1.1,,,,,,,
test118@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,IM0634,IM0634-100,3.5,1.15,,,,,,,
test119@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,IM0634,IM0634-105,3.5,1.2,,,,,,,
test120@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,IM0634,IM0634-103,3.5,1.25,,,,,,,
test121@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,IM0634,IM0634-101,3.5,1.3,,,,,,,
test122@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FV5524,FV5524-003,3.5,1.35,,,,,,,
test123@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FV5524,FV5524-400,3.5,1.4,,,,,,,
test124@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FV5524,FV5524-501,3.5,1.45,,,,,,,
test125@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FV5524,FV5524-100,3.5,1.5,,,,,,,
test126@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HF0712,HF0712-101,3.5,1.55,,,,,,,
test127@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HF0712,HF0712-401,3.5,1.6,,,,,,,
test128@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HV1992,HV1992-601,3.5,1.65,,,,,,,
test129@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HV1992,HV1992-401,3.5,1.7,,,,,,,
test130@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HV1992,HV1992-002,3.5,1.75,,,,,,,
test131@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,IF0302,IF0302-600,3.5,1.8,,,,,,,
test132@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FQ3680,FQ3680-008,3.5,1.85,,,,,,,
test133@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FQ3680,FQ3680-004,3.5,1.9,,,,,,,
test134@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FQ3680,FQ3680-006,3.5,1.95,,,,,,,
test135@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FQ3680,FQ3680-101,3.5,2,,,,,,,
test136@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FV5953,FV5953-101,3.5,2.05,,,,,,,
test137@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FV5953,FV5953-006,3.5,2.1,,,,,,,
test138@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,DV2913,DV2913-405,3.5,2.15,,,,,,,
test139@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,DV2913,DV2913-107,3.5,2.2,,,,,,,
test140@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HQ8034,HQ8034-100,3.5,2.25,,,,,,,
test141@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HQ8034,HQ8034-800,3.5,2.3,,,,,,,
test142@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HQ8034,HQ8034-400,3.5,2.35,,,,,,,
test143@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HV9918,HV9918-001,3.5,2.4,,,,,,,
test144@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,IB4458,IB4458-001,3.5,2.45,,,,,,,
test145@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,IB4458,IB4458-600,3.5,2.5,,,,,,,
test146@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,IB4458,IB4458-002,3.5,2.55,,,,,,,
test147@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,IB4458,IB4458-100,3.5,2.6,,,,,,,
test148@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FB2599,FB2599-107,3.5,2.65,,,,,,,
test149@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FB2599,FB2599-014,3.5,2.7,,,,,,,
test150@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FB2599,FB2599-401,3.5,2.75,,,,,,,
test151@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HF3450,HF3450-800,3.5,2.8,,,,,,,
test152@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HJ9153,HJ9153-100,3.5,2.85,,,,,,,
test153@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HJ9153,HJ9153-003,3.5,2.9,,,,,,,
test154@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,II7520,II7520-100,3.5,2.95,,,,,,,
test155@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,II7520,II7520-401,3.5,3,,,,,,,
test156@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,II7520,II7520-600,3.5,3.05,,,,,,,
test157@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,II7520,II7520-001,3.5,3.1,,,,,,,
test158@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,II7520,II7520-400,3.5,3.15,,,,,,,
test159@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HQ8032,HQ8032-001,3.5,3.2,,,,,,,
test160@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HQ8032,HQ8032-600,3.5,3.25,,,,,,,
test161@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HQ8032,HQ8032-401,3.5,3.3,,,,,,,
test162@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HQ8032,HQ8032-400,3.5,3.35,,,,,,,
test163@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,IM1360,IM1360-200,3.5,3.4,,,,,,,
test164@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,IB5852,IB5852-001,6,3.45,,,,,,,
