Username,Password,Version,Country,Channel,MPU2,MPU3,Season,Month,Brand,Consumer,Division,Segment,Dimension,Fields of Play,Style,StyleColor,Size1,Size2,Size3,Size4,Value1,Value2,Value3,Value4,,,,
test1@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,CZ0175,CZ0175-006,3.5,4,4.5,5,0.3,0.2,0.3,0.2,,,,
test2@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,CZ0175,CZ0175-102,3.5,4,4.5,5,0.3,0.2,0.3,0.2,,,,
test3@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,RUNNING,Mens Running,DC8992,DC8992-003,6,6.5,7,7.5,0.3,0.2,0.3,0.2,,,,
test4@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,DJ5423,DJ5423-600,3.5,4,4.5,5,0.3,0.2,0.3,0.2,,,,
test5@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,DV2913,DV2913-107,3.5,4,4.5,5,0.3,0.2,0.3,0.2,,,,5
test6@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,DV2913,DV2913-405,3.5,4,4.5,5,0.3,0.2,0.3,0.2,,,,
test7@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,DV2913,DV2913-800,3.5,4,4.5,5,0.3,0.2,0.3,0.2,,,,
test8@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FB2599,FB2599-014,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test9@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FB2599,FB2599-107,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test10@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FB2599,FB2599-401,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test11@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FB2599,FB2599-601,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test12@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FN4322,FN4322-101,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test13@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FQ3680,FQ3680-004,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test14@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FQ3680,FQ3680-006,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test15@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FQ3680,FQ3680-007,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test16@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FQ3680,FQ3680-008,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test17@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FQ3680,FQ3680-101,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test18@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FV1298,FV1298-101,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test19@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FV1298,FV1298-102,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test20@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FV1298,FV1298-103,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test21@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FV1298,FV1298-104,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
